,Town,Latitude,Longitude,geometry,lc_dev_0,lc_dev_1,lc_dev_2,lc_dev_3,lc_is_water/wetland,lc_is_forest/shrub,lc_is_grass/crop,tcc,pop20_density
0,MOUNT WASHINGTON,873379.3830650038,37356.6629214741,POINT (37356.6629214741 873379.3830650038),0,0,0,0,0,1,0,85,0.14320323386906691
1,EGREMONT,881800.9898846085,39769.19088234025,POINT (39769.19088234025 881800.9898846085),0,0,0,0,0,1,0,85,0.14320323386906691
2,ALFORD,890477.633817246,41079.94165856969,POINT (41079.94165856969 890477.633817246),0,0,0,0,0,1,0,86,0.16251372444404596
3,WEST STOCKBRIDGE,897252.0109652183,44338.75039291705,POINT (44338.75039291705 897252.0109652183),0,0,0,0,0,1,0,90,0.19582077128114858
4,SHEFFIELD,874081.3644710119,46163.88453827437,POINT (46163.88453827437 874081.3644710119),0,0,0,0,0,1,0,0,0.21321645841898698
5,RICHMOND,905701.1488907902,46923.88878465368,POINT (46923.88878465368 905701.1488907902),0,0,0,0,1,0,0,69,0.29538465323072766
6,GREAT BARRINGTON,886145.248480406,47945.18767596228,POINT (47945.18767596228 886145.248480406),0,0,1,0,0,0,0,33,0.19684237875211547
7,STOCKBRIDGE,896285.6582210191,49573.04207664783,POINT (49573.04207664783 896285.6582210191),0,0,0,0,0,1,0,84,1.0819584178726627
8,HANCOCK,921673.0921211998,50497.73492858843,POINT (50497.73492858843 921673.0921211998),0,0,0,0,0,1,0,85,0.08175365019251007
9,LENOX,903871.0370552528,53732.360729145184,POINT (53732.360729145184 903871.0370552528),0,0,0,0,0,0,1,0,0.6528324849473173
10,PITTSFIELD,912736.866533435,55189.962610845934,POINT (55189.962610845934 912736.866533435),0,0,0,1,0,0,0,21,35.44872458819778
11,NEW MARLBOROUGH,873740.5018809496,56082.510578149406,POINT (56082.510578149406 873740.5018809496),0,0,0,0,0,1,0,87,0.1589704417280141
12,LEE,896066.5134356112,57022.60764974787,POINT (57022.60764974787 896066.5134356112),0,0,0,0,0,1,0,58,0.44853058861611783
13,LANESBOROUGH,921588.6519628576,57108.07408034225,POINT (57108.07408034225 921588.6519628576),0,0,0,0,0,1,0,88,0.21876634836600048
14,MONTEREY,883681.1547582275,57329.07295967748,POINT (57329.07295967748 883681.1547582275),0,0,0,0,0,1,0,88,0.15428521064232723
15,WILLIAMSTOWN,938565.1784770094,58360.814626579086,POINT (58360.814626579086 938565.1784770094),0,0,0,0,0,1,0,88,0.11312500239790983
16,NEW ASHFORD,930108.4241079452,58543.4608375853,POINT (58543.4608375853 930108.4241079452),0,0,0,0,0,1,0,86,0.0716374970227165
17,TYRINGHAM,889935.8616551154,59913.790198502174,POINT (59913.790198502174 889935.8616551154),0,0,0,0,0,1,0,87,0.08742447262050654
18,WASHINGTON,903009.0186083904,63672.98380420228,POINT (63672.98380420228 903009.0186083904),0,0,0,0,1,0,0,77,0.04913690203518054
19,DALTON,915649.6413714228,64066.09154106638,POINT (64066.09154106638 915649.6413714228),0,0,0,0,0,0,1,0,6.107613919550749
20,CHESHIRE,925011.5792861456,64420.97263247382,POINT (64420.97263247382 925011.5792861456),0,0,0,0,0,0,1,0,0.31854247100015337
21,SANDISFIELD,874382.6415854011,65784.13446646847,POINT (65784.13446646847 874382.6415854011),0,0,0,0,0,1,0,85,0.07211575944107435
22,ADAMS,931958.1415797122,67220.12690379609,POINT (67220.12690379609 931958.1415797122),0,0,0,1,0,0,0,15,10.290113111984518
23,HINSDALE,910622.1131599162,67255.4899893119,POINT (67255.4899893119 910622.1131599162),0,0,0,0,1,0,0,73,1.7854450462479703
24,NORTH ADAMS,938346.3272616374,67515.46879591074,POINT (67515.46879591074 938346.3272616374),0,0,0,0,0,1,0,85,0.7738275217497644
25,CLARKSBURG,943028.430506038,68232.87481901354,POINT (68232.87481901354 943028.430506038),0,1,0,0,0,0,0,0,0.3129364337170577
26,OTIS,884919.3081004467,69061.45280310238,POINT (69061.45280310238 884919.3081004467),0,0,0,0,0,1,0,85,0.1555258861850632
27,BECKET,893934.0085929496,69424.72608245171,POINT (69424.72608245171 893934.0085929496),0,0,0,0,0,1,0,85,0.15747795737741233
28,WINDSOR,919266.9985499396,73172.57650821796,POINT (73172.57650821796 919266.9985499396),0,0,0,0,0,1,0,83,0.09125345007859584
29,PERU,909897.1536369316,73280.41796138011,POINT (73280.41796138011 909897.1536369316),0,0,0,0,0,1,0,82,0.12071472509411534
30,TOLLAND,872382.457779565,74142.37820898391,POINT (74142.37820898391 872382.457779565),0,0,0,0,1,0,0,84,0.07547344065477765
31,MIDDLEFIELD,901209.6268361276,75122.68618269508,POINT (75122.68618269508 901209.6268361276),0,0,0,0,0,0,1,0,0.1083618118228101
32,SAVOY,928411.054247086,75291.62654876662,POINT (75291.62654876662 928411.054247086),0,0,0,0,0,1,0,81,0.06911811482758984
33,FLORIDA,937741.5605288256,75876.28192898477,POINT (75876.28192898477 937741.5605288256),0,0,0,0,0,1,0,84,0.10894635564554413
34,MONROE,942395.2809144864,78571.10187934409,POINT (78571.10187934409 942395.2809144864),0,0,0,0,0,1,0,87,0.09142245277863581
35,BLANDFORD,882845.3267865248,80045.5980019218,POINT (80045.5980019218 882845.3267865248),0,0,0,0,0,1,0,88,0.07547344065477765
36,CHESTER,894406.4145432129,81245.76500630938,POINT (81245.76500630938 894406.4145432129),0,0,0,0,0,1,0,86,0.1275820350682667
37,WORTHINGTON,905986.5748545164,81246.31813002001,POINT (81246.31813002001 905986.5748545164),0,0,0,0,0,0,1,0,0.1083618118228101
38,PLAINFIELD,919581.9016749624,82980.88532711587,POINT (82980.88532711587 919581.9016749624),0,0,0,0,0,1,0,89,0.11445946712536186
39,CUMMINGTON,913484.3225834086,83251.92246276847,POINT (83251.92246276847 913484.3225834086),0,0,0,0,0,1,0,89,0.13877385161786543
40,GRANVILLE,871103.3071269242,83456.84109868965,POINT (83456.84109868965 871103.3071269242),0,0,0,0,0,1,0,85,0.13772526151095643
41,ROWE,939636.8444307344,84236.15610708845,POINT (84236.15610708845 939636.8444307344),0,0,0,0,0,1,0,85,0.09142245277863581
42,HAWLEY,926986.4159968168,84548.99539979952,POINT (84548.99539979952 926986.4159968168),0,0,0,0,0,1,0,84,0.08269496134010867
43,RUSSELL,879984.0533436323,87880.44859100028,POINT (87880.44859100028 879984.0533436323),0,0,0,0,0,1,0,86,0.3543325028590357
44,CHARLEMONT,933077.660938672,88065.4432066181,POINT (88065.4432066181 933077.660938672),0,0,0,0,0,1,0,89,0.09142245277863581
45,HUNTINGTON,893543.279940626,88251.68899170164,POINT (88251.68899170164 893543.279940626),0,1,0,0,0,0,0,53,0.21466173697071653
